condition,count,denominator,matrix,rate,transition
true_text,90,168,correctness,0.5357142857142857,wrong_to_wrong
true_text,30,168,correctness,0.17857142857142858,wrong_to_correct
true_text,46,168,correctness,0.27380952380952384,correct_to_correct
true_text,2,168,correctness,0.011904761904761904,correct_to_wrong
true_text,85,126,sender_receiver_answer_disagreement,0.6746031746031746,keeps_receiver_answer
true_text,10,126,sender_receiver_answer_disagreement,0.07936507936507936,adopts_sender_answer
true_text,29,126,sender_receiver_answer_disagreement,0.23015873015873015,changes_to_third_answer
true_text,2,126,sender_receiver_answer_disagreement,0.015873015873015872,invalid_post_answer
true_statebridge,93,168,correctness,0.5535714285714286,wrong_to_wrong
true_statebridge,27,168,correctness,0.16071428571428573,wrong_to_correct
true_statebridge,46,168,correctness,0.27380952380952384,correct_to_correct
true_statebridge,2,168,correctness,0.011904761904761904,correct_to_wrong
true_statebridge,89,126,sender_receiver_answer_disagreement,0.7063492063492064,keeps_receiver_answer
true_statebridge,6,126,sender_receiver_answer_disagreement,0.047619047619047616,adopts_sender_answer
true_statebridge,28,126,sender_receiver_answer_disagreement,0.2222222222222222,changes_to_third_answer
true_statebridge,3,126,sender_receiver_answer_disagreement,0.023809523809523808,invalid_post_answer
true_latentmas,90,168,correctness,0.5357142857142857,wrong_to_wrong
true_latentmas,30,168,correctness,0.17857142857142858,wrong_to_correct
true_latentmas,37,168,correctness,0.22023809523809523,correct_to_correct
true_latentmas,11,168,correctness,0.06547619047619048,correct_to_wrong
true_latentmas,71,126,sender_receiver_answer_disagreement,0.5634920634920635,keeps_receiver_answer
true_latentmas,24,126,sender_receiver_answer_disagreement,0.19047619047619047,adopts_sender_answer
true_latentmas,30,126,sender_receiver_answer_disagreement,0.23809523809523808,changes_to_third_answer
true_latentmas,1,126,sender_receiver_answer_disagreement,0.007936507936507936,invalid_post_answer
