classification,direction,item_id,none_changed,none_followed_sender,none_post_answer,none_post_correct,receiver_pre_answer,receiver_pre_correct,sender_correct,sender_pre_answer,true_latentmas_changed,true_latentmas_followed_sender,true_latentmas_post_answer,true_latentmas_post_correct,true_statebridge_changed,true_statebridge_followed_sender,true_statebridge_post_answer,true_statebridge_post_correct,true_text_changed,true_text_followed_sender,true_text_post_answer,true_text_post_correct
both_correct,A_to_B,22,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True,True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [value for value in values if isinstance(value, int) and not isinstance(value, bool)]",False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True
correction_opportunity,A_to_C,22,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int)]",False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int)]",False,True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [value for value in values if isinstance(value, int) and not isinstance(value, bool)]",True,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int) and not isinstance(val, bool)]",True,True,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int) and not isinstance(val, bool)]",True,True,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int) and not isinstance(val, bool)]",True
both_correct,B_to_A,22,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [value for value in values if isinstance(value, int) and not isinstance(value, bool)]",True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [value for value in values if isinstance(value, int) and not isinstance(value, bool)]",True,True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [value for value in values if isinstance(value, int) and not isinstance(value, bool)]",True,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [value for value in values if isinstance(value, int) and not isinstance(value, bool)]",True,True,True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True
correction_opportunity,B_to_C,22,True,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if type(val) is int]",True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int)]",False,True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int) and not isinstance(val, bool)]",True,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int)]",False,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int)]",False
destruction_risk,C_to_A,22,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [value for value in values if isinstance(value, int) and not isinstance(value, bool)]",True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [value for value in values if isinstance(value, int) and not isinstance(value, bool)]",True,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int)]",True,True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int)]",False,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [value for value in values if isinstance(value, int) and not isinstance(value, bool)]",True,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [value for value in values if isinstance(value, int) and not isinstance(value, bool)]",True
destruction_risk,C_to_B,22,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [val for val in values if isinstance(val, int)]",True,False,,False,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True,False,False,"from typing import List, Any

def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
    return [x for x in values if isinstance(x, int) and not isinstance(x, bool)]",True
both_wrong,A_to_B,32,False,True,,False,,False,False,,False,True,,False,False,True,,False,False,True,,False
both_wrong,A_to_C,32,True,False,"import math

def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + ... + xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])

def find_zero(xs: list):
    """"""
    xs are coefficients of a polynomial.
    find_zero finds x such that poly(x) = 0.
    find_zero returns only one zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non-zero coefficient as it guarantees a solution.
    """"""
    # Find the largest non-zero coefficient
    max_coeff = 0
    for coeff in xs:
        if coeff != 0 and abs(coeff) > abs(max_coeff):
            max_coeff = coeff
    # Constant term is xs[0]
    c = xs[0]
    # Leading coefficient is xs[-1]
    l = xs[-1]
    
    # Generate all possible rational roots
    def get_factors(n):
        factors = set()
        if n == 0:
            return factors
        for i in range(1, abs(n) + 1):
            if n % i == 0:
                factors.add(i)
                factors.add(-i)
        return factors
    
    c_factors = get_factors(c)
    l_factors = get_factors(l)
    
    # Generate possible roots
    possible_roots = set()
    for num in c_factors:
        for denom in l_factors:
            if denom == 0:
                continue
            possible_roots.add(num / denom)
    
    # Sort possible roots in ascending order
    sorted_roots = sorted(possible_roots)
    
    # Check each root
    for root in sorted_roots:
        if abs(poly(xs, root)) < 1e-6:
            return round(root, 2)
    
    # Fallback to Newton-Raphson if no rational root found
    x0 = -c / max_coeff if max_coeff != 0 else 0.0
    
    def newton_raphson(xs, x0, tolerance=1e-6, max_iter=100):
        x = x0
        for _ in range(max_iter):
            fx = poly(xs, x)
            dfx = sum([coeff * i * math.pow(x, i-1) for i, coeff in enumerate(xs) if i > 0])
            if dfx == 0:
                break
            x = x - fx / dfx
        return x
    
    root = newton_raphson(xs, x0)
    return round(root, 2)",False,"import math

def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + ... + xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])

def find_zero(xs: list):
    """"""
    xs are coefficients of a polynomial.
    find_zero finds x such that poly(x) = 0.
    find_zero returns only one zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non-zero coefficient as it guarantees a solution.
    """"""
    # Find the largest non-zero coefficient
    max_coeff = 0
    for coeff in xs:
        if coeff != 0 and abs(coeff) > abs(max_coeff):
            max_coeff = coeff
    # Constant term is xs[0]
    constant_term = xs[0]
    # Initial guess based on largest non-zero coefficient
    x0 = -constant_term / max_coeff if max_coeff != 0 else 0.0
    
    def newton_raphson(xs, x0, tolerance=1e-6, max_iter=100):
        x = x0
        for _ in range(max_iter):
            fx = poly(xs, x)
            dfx = sum([coeff * i * math.pow(x, i-1) for i, coeff in enumerate(xs) if i > 0])
            if dfx == 0:
                break
            x = x - fx / dfx
        return x
    
    root = newton_raphson(xs, x0)
    return round(root, 2)",False,False,,False,False,"import math

def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + ... + xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])

def find_zero(xs: list):
    """"""
    xs are coefficients of a polynomial.
    find_zero finds x such that poly(x) = 0.
    find_zero returns only one zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non-zero coefficient as it guarantees a solution.
    """"""
    # Find the largest non-zero coefficient
    max_coeff = 0
    for coeff in xs:
        if coeff != 0 and abs(coeff) > abs(max_coeff):
            max_coeff = coeff
    # Constant term is xs[0]
    constant_term = xs[0]
    # Initial guess based on largest non-zero coefficient
    x0 = -constant_term / max_coeff if max_coeff != 0 else 0.0
    
    def newton_raphson(xs, x0, tolerance=1e-6, max_iter=100):
        x = x0
        for _ in range(max_iter):
            fx = poly(xs, x)
            dfx = sum([coeff * i * math.pow(x, i-1) for i, coeff in enumerate(xs) if i > 0])
            if dfx == 0:
                break
            x = x - fx / dfx
        return x
    
    root = newton_raphson(xs, x0)
    return round(root, 2)",False,False,False,"import math

def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + ... + xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])

def find_zero(xs: list):
    """"""
    xs are coefficients of a polynomial.
    find_zero finds x such that poly(x) = 0.
    find_zero returns only one zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non-zero coefficient as it guarantees a solution.
    """"""
    # Find the largest non-zero coefficient
    max_coeff = 0
    for coeff in xs:
        if coeff != 0 and abs(coeff) > abs(max_coeff):
            max_coeff = coeff
    # Constant term is xs[0]
    constant_term = xs[0]
    # Initial guess based on largest non-zero coefficient
    x0 = -constant_term / max_coeff if max_coeff != 0 else 0.0
    
    def newton_raphson(xs, x0, tolerance=1e-6, max_iter=100):
        x = x0
        for _ in range(max_iter):
            fx = poly(xs, x)
            dfx = sum([coeff * i * math.pow(x, i-1) for i, coeff in enumerate(xs) if i > 0])
            if dfx == 0:
                break
            x = x - fx / dfx
        return x
    
    root = newton_raphson(xs, x0)
    return round(root, 2)",False,True,True,,False
both_wrong,B_to_A,32,False,True,,False,,False,False,,False,True,,False,False,True,,False,False,True,,False
both_wrong,B_to_C,32,False,False,"import math

def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + ... + xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])

def find_zero(xs: list):
    """"""
    xs are coefficients of a polynomial.
    find_zero finds x such that poly(x) = 0.
    find_zero returns only one zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non-zero coefficient as it guarantees a solution.
    """"""
    # Find the largest non-zero coefficient
    max_coeff = 0
    for coeff in xs:
        if coeff != 0 and abs(coeff) > abs(max_coeff):
            max_coeff = coeff
    # Constant term is xs[0]
    constant_term = xs[0]
    # Initial guess based on largest non-zero coefficient
    x0 = -constant_term / max_coeff if max_coeff != 0 else 0.0
    
    def newton_raphson(xs, x0, tolerance=1e-6, max_iter=100):
        x = x0
        for _ in range(max_iter):
            fx = poly(xs, x)
            dfx = sum([coeff * i * math.pow(x, i-1) for i, coeff in enumerate(xs) if i > 0])
            if dfx == 0:
                break
            x = x - fx / dfx
        return x
    
    root = newton_raphson(xs, x0)
    return round(root, 2)",False,"import math

def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + ... + xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])

def find_zero(xs: list):
    """"""
    xs are coefficients of a polynomial.
    find_zero finds x such that poly(x) = 0.
    find_zero returns only one zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non-zero coefficient as it guarantees a solution.
    """"""
    # Find the largest non-zero coefficient
    max_coeff = 0
    for coeff in xs:
        if coeff != 0 and abs(coeff) > abs(max_coeff):
            max_coeff = coeff
    # Constant term is xs[0]
    constant_term = xs[0]
    # Initial guess based on largest non-zero coefficient
    x0 = -constant_term / max_coeff if max_coeff != 0 else 0.0
    
    def newton_raphson(xs, x0, tolerance=1e-6, max_iter=100):
        x = x0
        for _ in range(max_iter):
            fx = poly(xs, x)
            dfx = sum([coeff * i * math.pow(x, i-1) for i, coeff in enumerate(xs) if i > 0])
            if dfx == 0:
                break
            x = x - fx / dfx
        return x
    
    root = newton_raphson(xs, x0)
    return round(root, 2)",False,False,,False,False,"import math

def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + ... + xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])

def find_zero(xs: list):
    """"""
    xs are coefficients of a polynomial.
    find_zero finds x such that poly(x) = 0.
    find_zero returns only one zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non-zero coefficient as it guarantees a solution.
    """"""
    # Find the largest non-zero coefficient
    max_coeff = 0
    for coeff in xs:
        if coeff != 0 and abs(coeff) > abs(max_coeff):
            max_coeff = coeff
    # Constant term is xs[0]
    constant_term = xs[0]
    # Initial guess based on largest non-zero coefficient
    x0 = -constant_term / max_coeff if max_coeff != 0 else 0.0
    
    def newton_raphson(xs, x0, tolerance=1e-6, max_iter=100):
        x = x0
        for _ in range(max_iter):
            fx = poly(xs, x)
            dfx = sum([coeff * i * math.pow(x, i-1) for i, coeff in enumerate(xs) if i > 0])
            if dfx == 0:
                break
            x = x - fx / dfx
        return x
    
    root = newton_raphson(xs, x0)
    return round(root, 2)",False,False,False,"import math

def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + ... + xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])

def find_zero(xs: list):
    """"""
    xs are coefficients of a polynomial.
    find_zero finds x such that poly(x) = 0.
    find_zero returns only one zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non-zero coefficient as it guarantees a solution.
    """"""
    # Find the largest non-zero coefficient
    max_coeff = 0
    for coeff in xs:
        if coeff != 0 and abs(coeff) > abs(max_coeff):
            max_coeff = coeff
    # Constant term is xs[0]
    constant_term = xs[0]
    # Initial guess based on largest non-zero coefficient
    x0 = -constant_term / max_coeff if max_coeff != 0 else 0.0
    
    def newton_raphson(xs, x0, tolerance=1e-6, max_iter=100):
        x = x0
        for _ in range(max_iter):
            fx = poly(xs, x)
            dfx = sum([coeff * i * math.pow(x, i-1) for i, coeff in enumerate(xs) if i > 0])
            if dfx == 0:
                break
            x = x - fx / dfx
        return x
    
    root = newton_raphson(xs, x0)
    return round(root, 2)",False,False,False,"import math

def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + ... + xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])

def find_zero(xs: list):
    """"""
    xs are coefficients of a polynomial.
    find_zero finds x such that poly(x) = 0.
    find_zero returns only one zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non-zero coefficient as it guarantees a solution.
    """"""
    # Find the largest non-zero coefficient
    max_coeff = 0
    for coeff in xs:
        if coeff != 0 and abs(coeff) > abs(max_coeff):
            max_coeff = coeff
    # Constant term is xs[0]
    constant_term = xs[0]
    # Initial guess based on largest non-zero coefficient
    x0 = -constant_term / max_coeff if max_coeff != 0 else 0.0
    
    def newton_raphson(xs, x0, tolerance=1e-6, max_iter=100):
        x = x0
        for _ in range(max_iter):
            fx = poly(xs, x)
            dfx = sum([coeff * i * math.pow(x, i-1) for i, coeff in enumerate(xs) if i > 0])
            if dfx == 0:
                break
            x = x - fx / dfx
        return x
    
    root = newton_raphson(xs, x0)
    return round(root, 2)",False
