item_id,direction,sender_agent_id,receiver_agent_id,pair_classification,gold,sender_pre_answer,receiver_pre_answer,receiver_post_answer,sender_correct,receiver_pre_correct,receiver_post_correct,answer_changed,followed_sender,revision_seed,prompt_tokens,generation_length,generation_seconds,hit_eos,status,prompt_sha256,receiver_prior_sha256
4,A_to_B,A,B,both_wrong,c,a,a,a,False,False,False,False,True,1004664408,724,594,19.784205198287964,True,complete,25686e8dcc187769a138f51cd4f7a814b0c2be738c0ff932f281e1b9fcc7cfed,d6c0e72fe2c7e0847ed2f039ead2830f93262ac2ffa863b1f792e3c0a5d02d16
4,A_to_C,A,C,both_wrong,c,a,a,a,False,False,False,False,True,904580467,855,573,10.902740955352783,True,complete,1ca9723c168711018c713129542782bc714cfe714d1807f5575bb151a3869b48,cdacd5884b3b4127f21acafd39ae11a373cb1a0f49314dabdf36e9e3b5a4c025
4,B_to_A,B,A,both_wrong,c,a,a,a,False,False,False,False,True,1697112558,862,456,13.997384071350098,True,complete,ae64f235e0eb426717a9461bbbea59ccfc4e011850223f1b5111ee3fc6520e26,d1096c31cbae5b5b418712c202f145a1bc347c8c252c70115240cd00408758ab
4,B_to_C,B,C,both_wrong,c,a,a,a,False,False,False,False,True,603292774,855,414,13.096111536026001,True,complete,1ca9723c168711018c713129542782bc714cfe714d1807f5575bb151a3869b48,cdacd5884b3b4127f21acafd39ae11a373cb1a0f49314dabdf36e9e3b5a4c025
4,C_to_A,C,A,both_wrong,c,a,a,a,False,False,False,False,True,1481235815,862,466,13.750176429748535,True,complete,ae64f235e0eb426717a9461bbbea59ccfc4e011850223f1b5111ee3fc6520e26,d1096c31cbae5b5b418712c202f145a1bc347c8c252c70115240cd00408758ab
4,C_to_B,C,B,both_wrong,c,a,a,a,False,False,False,False,True,975839888,724,761,16.525428295135498,True,complete,25686e8dcc187769a138f51cd4f7a814b0c2be738c0ff932f281e1b9fcc7cfed,d6c0e72fe2c7e0847ed2f039ead2830f93262ac2ffa863b1f792e3c0a5d02d16
10,A_to_B,A,B,both_correct,b,b,b,b,True,True,True,False,True,1952928013,636,556,10.919437170028687,True,complete,b0e77e33c55a346b5b134a3ead18e76810fac0a930bbb9fe5babd6d882c795ca,34b4e36248d19d7ccbb60aea464531b05bffee2df9e831be6fe484dff5569944
10,A_to_C,A,C,correction_opportunity,b,b,d,d,True,False,False,False,False,915369337,883,1123,29.913989067077637,True,complete,6d3ac713f24c05d2da0b2e9f4983169e89b505616a9b3cbb5916ed9a2d2a8bf6,ca361552e2ded2bf9535ec95cf383b0e5b14afa18e037a4b2997a7ff350d37ad
10,B_to_A,B,A,both_correct,b,b,b,b,True,True,True,False,True,305915871,688,614,13.254387140274048,True,complete,98891b8b36ddef1243a187156a0e5019f3bd4a888ede499111175fee453597c8,f93835659b332ca3826c5403737a420b0afb0e7c9926bc1883401f4afe556d41
10,B_to_C,B,C,correction_opportunity,b,b,d,d,True,False,False,False,False,1006851457,883,1719,36.84659814834595,True,complete,6d3ac713f24c05d2da0b2e9f4983169e89b505616a9b3cbb5916ed9a2d2a8bf6,ca361552e2ded2bf9535ec95cf383b0e5b14afa18e037a4b2997a7ff350d37ad
10,C_to_A,C,A,destruction_risk,b,d,b,b,False,True,True,False,False,2176454,688,571,11.963190793991089,True,complete,98891b8b36ddef1243a187156a0e5019f3bd4a888ede499111175fee453597c8,f93835659b332ca3826c5403737a420b0afb0e7c9926bc1883401f4afe556d41
10,C_to_B,C,B,destruction_risk,b,d,b,b,False,True,True,False,False,1436149696,636,922,19.436339855194092,True,complete,b0e77e33c55a346b5b134a3ead18e76810fac0a930bbb9fe5babd6d882c795ca,34b4e36248d19d7ccbb60aea464531b05bffee2df9e831be6fe484dff5569944
11,A_to_B,A,B,both_wrong,d,c,a,a,False,False,False,False,False,1297050515,974,2454,55.645774126052856,True,complete,a8a207991164764ad7f94b897fc09cc850fe75083312803d7b30f0906b513d8d,7ee50257d54e119ae78e0b06fc96b3cae806aefd91c502c7194970140426d657
11,A_to_C,A,C,both_wrong,d,c,c,c,False,False,False,False,True,55022625,1308,443,9.950459957122803,True,complete,5ee21d481217b7c5b1e346c0e14dc05c3ce21ecf8a3af02df92428f91348d390,e6faebc8344abd5fbb2907ec514895e47db3031c5a9b1897c59557ea1088b037
11,B_to_A,B,A,both_wrong,d,a,c,a,False,False,False,True,True,662929009,1130,2213,50.26612138748169,True,complete,a348c22243e8eec855b7ed7aa954ee16cd19fdeeae7442a8c38619260d708458,155a328f12fce896ad59d779971fa72174955344c06534a0cdf43c981881f9e5
11,B_to_C,B,C,both_wrong,d,a,c,a,False,False,False,True,True,764326106,1308,1547,33.461201190948486,True,complete,5ee21d481217b7c5b1e346c0e14dc05c3ce21ecf8a3af02df92428f91348d390,e6faebc8344abd5fbb2907ec514895e47db3031c5a9b1897c59557ea1088b037
11,C_to_A,C,A,both_wrong,d,c,c,c,False,False,False,False,True,1864052991,1130,493,10.758338451385498,True,complete,a348c22243e8eec855b7ed7aa954ee16cd19fdeeae7442a8c38619260d708458,155a328f12fce896ad59d779971fa72174955344c06534a0cdf43c981881f9e5
11,C_to_B,C,B,both_wrong,d,c,a,a,False,False,False,False,False,982152717,974,2674,59.51374435424805,True,complete,a8a207991164764ad7f94b897fc09cc850fe75083312803d7b30f0906b513d8d,7ee50257d54e119ae78e0b06fc96b3cae806aefd91c502c7194970140426d657
18,A_to_B,A,B,both_wrong,c,a,a,a,False,False,False,False,True,988470433,826,479,10.539445400238037,True,complete,2786fb7d76f422eaaeff62ea495a88d2d504001222a3c43eafec92665d282f42,fdad590e861f740598cbac7fa040b73e74383257394003ef6a935949dd548f9c
18,A_to_C,A,C,both_wrong,c,a,a,a,False,False,False,False,True,474979328,890,667,14.633355140686035,True,complete,35f34ab9d250d827cf06464db6722c5a8e1b65da76879b0ff42af1ccf88e684a,aca9c68e1a00fa1bdccf223084be2848674bbbb96d203c39f8ee4dde4f902ea7
18,B_to_A,B,A,both_wrong,c,a,a,a,False,False,False,False,True,1864393588,895,548,11.699218511581421,True,complete,ba8a0c9815e1d0b0d3ba0dd9dd66558ac731691f178cabdec46c9d70db99a20e,da2bc847a8295cc10bcf6e0f173351b67c8b4eb406cb43cc37b5dbff50ab7e7f
18,B_to_C,B,C,both_wrong,c,a,a,a,False,False,False,False,True,1558785878,890,658,15.370089292526245,True,complete,35f34ab9d250d827cf06464db6722c5a8e1b65da76879b0ff42af1ccf88e684a,aca9c68e1a00fa1bdccf223084be2848674bbbb96d203c39f8ee4dde4f902ea7
18,C_to_A,C,A,both_wrong,c,a,a,a,False,False,False,False,True,1126962267,895,671,14.793044090270996,True,complete,ba8a0c9815e1d0b0d3ba0dd9dd66558ac731691f178cabdec46c9d70db99a20e,da2bc847a8295cc10bcf6e0f173351b67c8b4eb406cb43cc37b5dbff50ab7e7f
18,C_to_B,C,B,both_wrong,c,a,a,a,False,False,False,False,True,2005339004,826,893,19.862971544265747,True,complete,2786fb7d76f422eaaeff62ea495a88d2d504001222a3c43eafec92665d282f42,fdad590e861f740598cbac7fa040b73e74383257394003ef6a935949dd548f9c
