benchmark,condition,n_records
arc_challenge,none,808
arc_challenge,true_answer,196
arc_challenge,true_evidence_v2,588
arc_challenge,true_hybrid,588
arc_challenge,true_hybrid_v3,588
arc_challenge,true_latentmas,808
arc_challenge,true_rawhybrid,588
arc_challenge,true_statebridge,808
arc_challenge,true_text,808
gpqa_diamond,none,1072
gpqa_diamond,true_answer,228
gpqa_diamond,true_evidence_v2,633
gpqa_diamond,true_hybrid,708
gpqa_diamond,true_hybrid_v3,582
gpqa_diamond,true_latentmas,1071
gpqa_diamond,true_rawhybrid,651
gpqa_diamond,true_statebridge,1072
gpqa_diamond,true_text,1072
gsm8k_test,none,803
gsm8k_test,true_answer,184
gsm8k_test,true_evidence_v2,564
gsm8k_test,true_hybrid,564
gsm8k_test,true_hybrid_keepchain,564
gsm8k_test,true_hybrid_v3,564
gsm8k_test,true_latentmas,801
gsm8k_test,true_rawhybrid,564
gsm8k_test,true_statebridge,803
gsm8k_test,true_text,803
humanevalplus_test,none,204
humanevalplus_test,true_latentmas,204
humanevalplus_test,true_statebridge,204
humanevalplus_test,true_text,204
medqa300,cr_dnc_a025,138
medqa300,cr_dnc_a050,138
medqa300,cr_dnc_a075,138
medqa300,cr_dnc_a100,138
medqa300,cr_dnc_randdir_a100,138
medqa300,cr_dnc_randnorm_a100,138
medqa300,none,1669
medqa300,other_evidence,720
medqa300,true_answer,232
medqa300,true_evidence,720
medqa300,true_evidence_v2,720
medqa300,true_hybrid,720
medqa300,true_hybrid_v3,720
medqa300,true_latentmas,1486
medqa300,true_rawhybrid,720
medqa300,true_statebridge,2438
medqa300,true_text,1486
