condition,status,experiment_scope,candidate_pool,token_budget,wrapping_format,actual_length_median,actual_length_range,selector_uses_labels_or_test_perf,construction_calls,cache_reuse,evidence_of_search,missing_items
E2_random_spans,BLOCKED_NOT_PRESENT,none,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"searched *.py/*.md/*.json/*.yaml/*.sh on disk for E0-E4, random_span, selected_span, span_budget, candidate_pool, medqa75, n=75, pilot: no hit; searched all 48 git commits (file names and contents): no hit; only deleted match was tests/test_state_selection.py which is StateBridge hidden-state selection (select_hidden_states / turning_point_scores), not text span selection",span selector implementation; candidate pool construction; token budget config; message wrapping format; historical run records; MedQA75 pilot item list
E3_selected_spans,BLOCKED_NOT_PRESENT,none,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"searched *.py/*.md/*.json/*.yaml/*.sh on disk for E0-E4, random_span, selected_span, span_budget, candidate_pool, medqa75, n=75, pilot: no hit; searched all 48 git commits (file names and contents): no hit; only deleted match was tests/test_state_selection.py which is StateBridge hidden-state selection (select_hidden_states / turning_point_scores), not text span selection",span selector implementation; candidate pool construction; token budget config; message wrapping format; historical run records; MedQA75 pilot item list
Answer Only (MedQA),PRESENT_NOT_A_SPAN_CONDITION,mixed directions,whole sender trajectory (no candidate pool),no budget,Sender's final answer: {answer},1,1-1,no,0 (string formatting),n/a,,
Full Text (MedQA),PRESENT_NOT_A_SPAN_CONDITION,mixed directions,whole sender trajectory (no candidate pool),no budget,verbatim sender reasoning,487,187-762,no,0 (verbatim reuse),n/a,,
Answer Only (ARC-C),PRESENT_NOT_A_SPAN_CONDITION,mixed directions,whole sender trajectory (no candidate pool),no budget,Sender's final answer: {answer},1,1-3,no,0 (string formatting),n/a,,
Full Text (ARC-C),PRESENT_NOT_A_SPAN_CONDITION,mixed directions,whole sender trajectory (no candidate pool),no budget,verbatim sender reasoning,401,104-16382,no,0 (verbatim reuse),n/a,,
Answer Only (GSM8K),PRESENT_NOT_A_SPAN_CONDITION,mixed directions,whole sender trajectory (no candidate pool),no budget,Sender's final answer: {answer},2,1-6,no,0 (string formatting),n/a,,
Full Text (GSM8K),PRESENT_NOT_A_SPAN_CONDITION,mixed directions,whole sender trajectory (no candidate pool),no budget,verbatim sender reasoning,309,63-16383,no,0 (verbatim reuse),n/a,,
Answer Only (GPQA-D),PRESENT_NOT_A_SPAN_CONDITION,mixed directions,whole sender trajectory (no candidate pool),no budget,Sender's final answer: {answer},1,1-3,no,0 (string formatting),n/a,,
Full Text (GPQA-D),PRESENT_NOT_A_SPAN_CONDITION,mixed directions,whole sender trajectory (no candidate pool),no budget,verbatim sender reasoning,731,49-16383,no,0 (verbatim reuse),n/a,,
