dataset,condition_a,condition_b,n_paired,cr_a_num,cr_b_num,cr_den,delta_cr_pct,delta_cr_ci_low,delta_cr_ci_high,cr_gained,cr_lost,pr_a_num,pr_b_num,pr_den,delta_pr_pct,delta_pr_ci_low,delta_pr_ci_high,pr_preserved_gained,pr_destroyed_gained,delta_si_pct,delta_si_ci_low,delta_si_ci_high,net_correct_change,verdict
MedQA,Answer Only,No Message,232,45,8,116,+31.90,+21.55,+43.10,37,0,93,114,116,-18.10,-26.72,-10.34,1,22,+6.90,+0.86,+12.93,+16,A 更高
MedQA,Full Text,Answer Only,232,93,45,116,+41.38,+30.17,+52.59,51,3,49,93,116,-37.93,-49.14,-26.72,3,47,+1.72,-4.31,+7.76,+4,证据不确定（区间跨零）
MedQA,StateBridge,Answer Only,232,67,45,116,+18.97,+9.48,+28.45,27,5,87,93,116,-5.17,-14.66,+4.31,12,18,+6.90,+0.86,+13.36,+16,A 更高
MedQA,LatentMAS,Answer Only,232,81,45,116,+31.03,+14.66,+46.55,52,16,38,93,116,-47.41,-58.62,-36.21,6,61,-8.19,-16.81,+0.00,-19,证据不确定（区间跨零）
GPQA-D,Answer Only,No Message,228,64,16,114,+42.11,+30.70,+53.51,52,4,72,110,114,-33.33,-44.74,-21.93,2,40,+4.39,-3.51,+11.84,+10,证据不确定（区间跨零）
GPQA-D,Full Text,Answer Only,228,85,64,114,+18.42,+8.77,+28.07,30,9,54,72,114,-15.79,-26.32,-6.14,8,26,+1.32,-6.14,+8.77,+3,证据不确定（区间跨零）
GPQA-D,StateBridge,Answer Only,228,73,64,114,+7.89,-3.51,+18.42,25,16,59,72,114,-11.40,-20.18,-2.63,7,20,-1.75,-8.33,+4.82,-4,证据不确定（区间跨零）
GPQA-D,LatentMAS,Answer Only,228,70,64,114,+5.26,-7.02,+17.54,25,19,58,72,114,-12.28,-26.32,+1.75,20,34,-3.51,-12.72,+6.14,-8,证据不确定（区间跨零）
MedQA,random_spans,Full Text,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED
MedQA,selected_spans,Full Text,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED
MedQA,selected_spans,random_spans,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED
GPQA-D,random_spans,Full Text,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED
GPQA-D,selected_spans,Full Text,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED
GPQA-D,selected_spans,random_spans,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED
